"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.747326708E0,5.563042164E-1,-2.634349167E-1,3.589980677E-2
1.757345708E0,7.223928571E-1,-5.444046259E-1,3.745986149E-2
1.767364708E0,9.198330045E-1,-7.439262867E-1,4.874621518E-4
1.777383708E0,1.100628495E0,-8.251361847E-1,-8.639442921E-2
1.787403708E0,1.275732160E0,-1.166406631E0,-1.826013923E-1
1.797422708E0,1.150521398E0,-8.953711987E-1,-2.145154923E-1
1.807441708E0,9.320957065E-1,-6.275498867E-1,-1.631036997E-1
1.817461708E0,6.117565632E-1,-1.347633004E-1,-6.858361419E-3
1.827480708E0,3.457368016E-1,1.291655600E-1,2.261674404E-1
1.837499708E0,1.465415657E-1,1.552885175E-1,3.979028165E-1
1.847518708E0,1.490177773E-2,2.830926888E-2,4.609971046E-1
1.857538708E0,-5.850365013E-2,-1.472900808E-1,4.846607149E-1
1.867557708E0,-1.038650051E-1,-3.855181038E-1,4.764230251E-1
1.877576708E0,-2.115233094E-1,-5.555537343E-1,4.430425167E-1
1.887596708E0,-3.800915778E-1,-5.117511153E-1,4.017568529E-1
1.897615708E0,-5.567755699E-1,-1.846749187E-1,3.676500916E-1
1.907634708E0,-7.238279581E-1,2.894244790E-1,3.496298194E-1
1.917653708E0,-8.481888771E-1,7.052114606E-1,3.876378536E-1
1.927673708E0,-8.998051882E-1,8.448718786E-1,4.636993408E-1
1.937692708E0,-8.750422001E-1,6.835849881E-1,5.542621613E-1
1.947711708E0,-8.056280017E-1,4.009410441E-1,6.470365524E-1
1.957731708E0,-7.025741935E-1,1.536017954E-1,6.996746659E-1
1.967750708E0,-5.843234062E-1,7.926204056E-2,6.482218504E-1
1.977769708E0,-4.606923759E-1,8.942053653E-3,5.287940502E-1
1.987788708E0,-3.663688004E-1,-3.039656393E-2,4.029354155E-1
1.997808708E0,-3.359613121E-1,9.699802846E-2,3.294472098E-1
2.007827708E0,-3.677637279E-1,2.834397852E-1,3.192134798E-1
2.017846708E0,-4.388588965E-1,3.540270925E-1,3.681032062E-1
2.027866708E0,-4.894568324E-1,3.464964628E-1,4.543930888E-1
2.037885708E0,-4.879900813E-1,4.268314838E-1,5.564385056E-1
2.047904708E0,-4.574585259E-1,4.578849971E-1,5.642207861E-1
2.057923708E0,-4.236687422E-1,2.904897928E-1,4.576947093E-1
2.067943708E0,-3.468639851E-1,1.056219637E-1,3.033906221E-1
2.077962708E0,-2.532400787E-1,-1.432842668E-2,2.035268992E-1
2.087981708E0,-2.137200832E-1,-8.452375978E-2,2.386108488E-1
2.098001708E0,-2.852410376E-1,-1.770386100E-1,2.591337860E-1
2.108020708E0,-3.589911461E-1,-2.522561252E-1,2.496366948E-1
2.118039708E0,-3.963447511E-1,-3.624703586E-1,2.583979368E-1
2.128059708E0,-3.858175278E-1,-5.039030910E-1,2.942022979E-1
2.138078708E0,-3.780374825E-1,-7.205592394E-1,3.423352838E-1
2.148097708E0,-4.096246958E-1,-1.016814828E0,3.526859283E-1
2.158116708E0,-4.260898530E-1,-1.239637017E0,3.544874489E-1
2.168136708E0,-4.194649756E-1,-1.219569564E0,3.151251376E-1
2.178155708E0,-4.158986211E-1,-9.188444018E-1,2.330815643E-1
2.188174708E0,-4.577984214E-1,-4.751838744E-1,1.663328856E-1
2.198194708E0,-5.541324615E-1,-5.076762289E-2,2.135616541E-1
2.208213708E0,-7.048900127E-1,2.465926856E-1,4.423322380E-1
2.218232708E0,-8.908636570E-1,4.551787376E-1,7.134419084E-1
