Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
11.90036912,-1.184531331,-4.04679966,-5.199008942
11.91840709,0.299873769,-5.923853397,-6.793547153
11.93644631,-0.619499683,-18.9530983,4.013879299
11.95448427,-10.39741898,-31.39815903,10.73200893
11.97252224,-0.025737667,-13.70022106,-5.716156483
11.99056021,-1.007360339,-4.693233967,-5.237316132
12.00859818,0.975038648,-1.872864246,-6.927622795
12.02663615,5.461772442,-1.408389091,-12.41034412
12.04467412,3.120243311,-8.969278336,-9.436745644
12.06271209,0.85532856,-14.59565258,-2.043451071
12.08075006,0.08439561,-16.53974342,5.6515131
12.09878802,-0.37050271,-14.45199966,6.546944618
12.11682599,0.529717147,-11.54065037,3.539827108
12.13486396,1.358110905,-8.002020836,0.800860465
12.15290193,1.813009262,-6.828861713,-1.990778685
12.1709399,0.946308196,-7.685986042,-1.952471495
12.18897787,1.401206493,-8.543109894,0.59495914
12.20701584,1.55922389,-8.246229172,0.872686505
12.22505381,-0.384867936,-7.88231039,-1.459265947
12.24309177,-1.620275974,-7.69556284,-1.66995573
12.26112974,-1.979406238,-9.007585526,0.130484
12.27916771,-1.155800819,-11.13363647,0.738611221
12.29720568,0.568024337,-13.20222664,0.954089403
12.31524365,2.363675594,-13.3458786,3.357867956
12.33328162,2.492962599,-12.42650509,3.970783472
12.35131959,1.056441545,-12.3690443,-0.29568392
12.36935756,0.500986695,-13.70500946,0.379480958
12.38739552,0.060453594,-14.38017368,1.361103654
12.40543349,-1.289876223,-13.84866142,2.318784237
12.42347146,0.529717147,-12.78084755,4.258087635
12.44148412,2.287061214,-13.47995377,3.918111086
12.4595475,1.482609391,-10.93252373,2.524685621
12.47758547,-1.720832467,-11.4209404,3.965995073
12.49562344,-0.753574967,-13.31235981,-0.956483603
12.51366141,0.888847411,-13.96358299,-7.688978672
12.53169938,-1.965041041,-14.63395977,-5.673060894
12.54973735,-7.256227016,-18.51256561,-1.502361536
12.56777532,-6.303334713,-17.75120926,4.147954464
12.58581328,-1.773504853,-15.41446877,0.618901134
12.60385125,1.731606364,-14.72493935,-2.431311846
12.62188922,0.443525851,-11.76570606,-1.286883354
12.63992719,0.237624526,-9.989208221,-0.487220049
12.65796516,1.180940032,-7.566276073,-3.163937569
12.67600683,0.534505546,-5.373187065,-3.556586742
12.69401605,0.026934769,-3.141791105,-3.561375141
12.71207917,-0.313041866,-1.408389091,-4.083311081
12.73011714,-0.772728622,-1.006163239,-2.977189779
12.74815511,-0.629076481,-1.413177609,-2.862268209
12.76619308,-0.480636001,-2.251148224,-2.393004656
12.78423105,-0.988206744,-3.170521498,-1.334767461
12.80226901,-0.906803906,-4.573523998,1.442506552
12.82030698,-1.3760674,-6.469731331,5.172672749
12.83834495,-3.109469414,-9.519944191,8.045714378
12.85638292,-4.862025261,-11.78964806,8.66341877
12.87442089,-4.110245705,-11.56459236,10.88523769
12.89245886,-3.712808371,-13.53741455,11.59392166
12.91049683,-3.693654776,-15.63952446,10.80862331
12.92853495,-6.265027523,-16.80310631,9.357737541
12.94657136,-8.113350868,-18.9530983,7.394492149
12.96461042,-4.771045208,-21.53883743,16.24824905
12.98264886,1.133055925,-2.983773947,-12.61624622
13.00068683,0.266354948,2.762310266,-13.26268005
13.0187248,-1.328183413,-0.034117375,-4.844666958
13.03676276,1.468244195,-4.453813553,-3.53264451
13.05480073,6.864774704,-11.84710884,-6.831854343
13.0728387,3.297414303,-19.02013779,-3.695450306
13.09087667,0.366911411,-18.41679764,6.120776653
13.10891464,-0.246004224,-11.54065037,3.626018524
13.12695261,-0.495001197,-6.670844555,-0.750582218
13.14499058,-0.183754981,-4.798578739,-1.128866076
13.16302854,-0.638653278,-6.627748966,-1.047463298
13.18106651,-1.237203717,-9.821614265,-1.15280807
13.19910448,0.055665191,-12.58931065,0.331596941
13.21714245,2.397194386,-13.43206978,2.668337822
13.23518042,4.245518208,-11.09054089,3.712209702
13.25321839,1.520916581,-8.322843552,0.968454599
13.27125636,-0.107140526,-6.757035732,-0.736217022
13.28929433,-0.849343061,-6.407482147,-0.822408259
13.3073323,-0.940322697,-7.451354027,-1.329979062
13.32537026,-1.888426542,-8.859145164,-1.33955586
13.34340823,-1.687313676,-9.682749748,-2.129642487
13.3614462,-1.026513934,-10.86069775,-2.756923199
13.37948417,-0.126294136,-12.35946751,-1.622071624
13.39752214,0.903212607,-12.91492271,1.322796464
13.41556011,1.386841297,-12.20623875,3.151966572
13.43358167,0.639850378,-12.9628067,1.911770105
13.45162266,-0.313041866,-14.09765816,0.460883826
13.46967438,-0.332195491,-14.51903725,0.89184016
13.48771235,0.41000703,-13.80556583,1.686715126
13.50575032,2.464232206,-12.3881979,3.779247284
13.52378828,3.426701069,-14.41848087,2.855085611
13.54182625,1.602319479,-13.77204704,1.543063045
13.55986422,-0.992995143,-12.83351994,2.572569609
13.57790219,-4.320935726,-12.20145035,1.250970364
13.59594016,-4.732738018,-11.4209404,-3.523067713
13.61397813,-3.56915617,-11.78964806,-3.685873508
13.6320161,-5.158905983,-14.21736813,-1.310825467
13.65005407,-5.987299919,-15.64910126,-1.397016644
13.66809204,-3.506906986,-15.13674164,-0.85592711
13.68613,-0.313041866,-14.06892776,-1.358709455
13.70416797,1.425148606,-12.70423317,-1.224634171
13.72220594,0.467467874,-10.86069775,-1.895010591
13.74024391,0.242412925,-8.375515938,-0.946906745
13.75828188,0.338180989,-6.201581001,-2.431311846
13.77631985,0.70688808,-4.439448357,-3.41772294
13.79435782,0.510563493,-3.151367903,-3.441664934
13.81239578,-0.044891283,-2.998139143,-3.360262156
13.83043375,-1.256357312,-2.141014814,-2.383427858
13.84847172,-0.85413146,-2.600701571,-1.310825467
13.86650969,-0.629076481,-2.926312923,-0.884657502
13.88454766,-0.490212798,-4.042010784,-0.032321721
13.90258563,-0.753574967,-5.411494255,1.385045648
13.9206236,-1.605910778,-6.455366135,4.253299236
13.93866157,-3.78942275,-8.562263489,5.507861137
13.95669954,-4.708796024,-10.11370659,7.073668957
13.9747375,-2.836530447,-10.76014137,9.774328232
13.99277547,-2.41993928,-12.48875427,12.67610073
14.01081344,-3.478176594,-16.74564552,13.14536476
14.02885141,-3.554790974,-13.44164658,8.730456352
14.04688938,-2.999336243,-4.482543945,4.708197594
14.06492735,-0.418386757,-5.306149483,0.661996782
14.08296532,-1.716044068,-11.06181049,-5.160701752
14.10100329,0.682946026,-24.21076584,0.393846184
14.11904125,-6.729502201,-28.34794617,6.87255621
14.13707922,-2.927510023,-7.925405979,-8.225279808
14.15511719,-3.942651749,-2.260725021,-8.234856606
14.17315516,1.022922635,-0.982221246,-10.96424675
14.19119313,4.164115429,-5.243900299,-14.85721874
14.2092311,1.391629696,-13.87260342,-9.551667213
14.22726907,3.450643301,-18.00978279,4.171896458
14.24530704,4.489726543,-16.6259346,7.21253252
14.263345,2.56478858,-11.49276638,2.797624588
14.28138297,2.459443808,-7.887098789,0.614112735
14.29942094,2.287061214,-6.776189327,-1.420958757
14.31745891,2.732382774,-7.95892477,-1.607706428
14.33549688,3.302202702,-8.959701538,0.317231715
14.35353485,2.655768156,-8.854356766,0.89184016
14.37157282,0.52014029,-8.677185059,1.102529883
14.38961078,-0.423175156,-7.441777229,-0.908599556
14.40764875,-1.634641171,-7.604583263,-1.162384868
14.42568969,-1.945887446,-8.514379501,-1.028309584
14.44370474,-1.457470298,-10.35791492,-0.81761986
14.46176396,-0.025737667,-12.12004757,0.786495268
14.47980193,1.185728431,-12.30200672,1.193509579
14.4978399,1.4490906,-12.83830833,0.503979445
14.51587787,2.186504602,-13.26926422,0.867898107
14.53391584,1.774701953,-13.72416306,0.839167714
14.55195381,-0.121505737,-13.71937466,0.341173738
14.56999177,-1.26593411,-13.31714821,1.164779186
14.58802974,0.37169981,-12.3929863,3.764882088
14.60606771,3.378817081,-12.55579185,4.258087635
14.62410568,3.646967649,-13.350667,2.438494444
14.64214365,1.870470047,-13.99231339,2.088941097
14.66018162,0.251989722,-14.23173332,2.419340849
14.67821959,-1.663371682,-12.52227306,-2.59890604
14.69625756,-3.166930199,-12.23975754,-4.361038208
14.71429552,-4.05278492,-13.25489902,-2.819172382
14.73233349,-6.528389454,-15.13674164,-2.397793055
14.75037146,-4.895544052,-15.13674164,-2.325966835
14.76840943,-1.792658567,-14.45199966,-1.516726732
14.7864474,2.818573952,-13.9540062,1.040280581
14.80448537,2.4881742,-13.75768185,-2.163161278
14.82252334,1.286284804,-11.06659889,-2.26850605
14.84056131,0.888847411,-8.825626373,-2.929305792
14.85859927,0.649427235,-6.733093739,-4.739322186
14.87663724,-0.198120192,-4.262277603,-4.289212227
14.89467521,-0.959476352,-2.763507366,-3.68108511
14.91271318,-1.270722508,-1.485003591,-3.767276287
14.93075115,-1.74956286,-1.231218219,-2.096123695
14.94878912,-1.419163108,-1.772307754,-1.832761407
14.96682709,-2.247556925,-3.582324266,-0.942118347
14.98486506,-2.04165554,-4.458601952,0.618901134
15.00290302,-1.950675845,-5.909488201,4.483142853
15.02094099,-2.108693123,-8.859145164,6.992266178
15.03897896,-1.318606615,-10.78887177,8.256404877
15.05701693,-1.356913805,-11.07617569,9.783905029
15.0750549,-3.870825529,-13.57572174,13.12142277
15.09309287,-4.680065632,-16.88450813,11.87164879
15.11113084,-3.444657803,-13.63797188,6.168660641
15.12916891,-4.766256809,-8.054693222,4.622006416
15.14720735,-3.435081005,-9.156025887,4.832695961
15.16524578,-2.716820478,-12.71380997,-0.903811157
15.18328193,-0.006584055,-13.13040066,-5.385756493
15.20131927,-5.211578369,-13.05378628,0.159214407
15.21936011,-3.190872431,-10.0610342,-3.408146143
15.23739808,-0.935534298,-7.877521992,-3.767276287
15.25543604,5.145738125,-5.861604214,-6.549338818
15.27347401,6.869563103,-7.88231039,-8.761581421
15.29151198,1.889623642,-11.90935802,-3.896563292
15.30954995,0.524928749,-11.77049446,0.005985504
15.32758792,-0.949899495,-12.14877796,2.122459888
15.34562589,-0.37050271,-10.82239056,1.921346903
15.36366386,0.04129998,-9.721057892,0.815225661
15.38170183,-0.145447746,-9.428964615,-0.027533319
15.3997398,0.888847411,-8.667608261,0.16879122
15.41777776,2.756324768,-8.830414772,0.863109708
15.43579719,2.320580006,-8.988431931,-0.175973818
15.45384521,1.654991984,-8.136096001,-1.009155989
15.47189224,0.395641834,-7.389104843,-1.176750183
15.48993021,-1.625064373,-8.059481621,-2.287659645
15.50796818,-2.15657711,-8.658031464,-0.879869103
15.52600615,-1.218050122,-9.898228645,-0.444124401
